name,team,league,position,role,overall,minutes,90s
Issa Doumbia,Venezia,it Serie A,MF,Defensive Midfielder,25.9,939,10.4
Félix Lemaréchal,Strasbourg,fr Ligue 1,MF,Wide Midfielder / Winger,25.9,1779,19.8
Valentín Barco,Strasbourg,fr Ligue 1,MF,Ball-winning Midfielder,25.8,1157,12.9
Maximilian Bauer,Augsburg,de Bundesliga,DF,Defensive Centre-back,25.8,658,7.3
Sandi Lovrić,Udinese,it Serie A,MF,Wide Midfielder / Winger,25.8,2308,25.6
Yaya Kader Fofana,Reims,fr Ligue 1,MF,Wide Midfielder / Winger,25.8,634,7.0
Nathan Aké,Manchester City,eng Premier League,DF,Defensive Centre-back,25.7,678,7.5
Santiago Giménez,Milan,it Serie A,FW,Clinical Striker,25.7,669,7.4
Giorgio Altare,Venezia,it Serie A,DF,Defensive Centre-back,25.7,753,8.4
Marshall Munetsi,Reims,fr Ligue 1,MF,Target Man / Physical Striker,25.7,1692,18.8
Saïd Benrahma,Lyon,fr Ligue 1,FW,Creative Attacking Midfielder,25.7,735,8.2
Faustino Anjorin,Empoli,it Serie A,MF,Wide Midfielder / Winger,25.6,1114,12.4
Patrick Wimmer,Wolfsburg,de Bundesliga,MF,Wide Midfielder / Winger,25.6,1770,19.7
Dani Raba,Leganés,es La Liga,FW,Creative Attacking Midfielder,25.5,1879,20.9
Julian Brandt,Dortmund,de Bundesliga,MF,Creative Attacking Midfielder,25.5,2303,25.6
Yehor Yarmoliuk,Brentford,eng Premier League,MF,Ball-winning Midfielder,25.5,1450,16.1
Stanley N'Soki,Hoffenheim,de Bundesliga,DF,Defensive Centre-back,25.5,1308,14.5
Wesley Fofana,Chelsea,eng Premier League,DF,Defensive Centre-back,25.5,1172,13.0
Koke,Atlético Madrid,es La Liga,MF,Ball-winning Midfielder,25.5,1926,21.4
Roberto Navarro,Mallorca,es La Liga,MF,Wide Midfielder / Winger,25.4,1278,14.2
Dwight McNeil,Everton,eng Premier League,MF,Creative Attacking Midfielder,25.4,1371,15.2
Tijjani Reijnders,Milan,it Serie A,MF,Box-to-box Midfielder,25.3,3128,34.8
Duván Zapata,Torino,it Serie A,FW,Clinical Striker,25.3,587,6.5
Kevin Kampl,RB Leipzig,de Bundesliga,MF,Ball-winning Midfielder,25.2,1593,17.7
Yaser Asprilla,Girona,es La Liga,FW,Creative Attacking Midfielder,25.2,1405,15.6
Juma Bah,Valladolid,es La Liga,DF,Defensive Centre-back,25.1,864,9.6
Kenny Lala,Brest,fr Ligue 1,DF,Ball-winning Midfielder,25.0,2686,29.8
Fábio Silva,Las Palmas,es La Liga,FW,Clinical Striker,25.0,1866,20.7
Ayyoub Bouaddi,Lille,fr Ligue 1,MF,Ball-winning Midfielder,25.0,1151,12.8
Simon Sohm,Parma,it Serie A,MF,Defensive Midfielder,24.8,2989,33.2
Benjamin Šeško,RB Leipzig,de Bundesliga,FW,Clinical Striker,24.8,2380,26.4
Djibril Sow,Sevilla,es La Liga,MF,Defensive Midfielder,24.8,2062,22.9
Benjamin André,Lille,fr Ligue 1,MF,Ball-winning Midfielder,24.8,2692,29.9
Raúl,Osasuna,es La Liga,FW,Clinical Striker,24.7,750,8.3
Kenan Yıldız,Juventus,it Serie A,FW,Creative Attacking Midfielder,24.7,2402,26.7
Borja Iglesias,Celta Vigo,es La Liga,FW,Clinical Striker,24.7,1952,21.7
Yankuba Minteh,Brighton,eng Premier League,FW,Creative Attacking Midfielder,24.5,1838,20.4
Nicolò Rovella,Lazio,it Serie A,MF,Ball-winning Midfielder,24.5,2718,30.2
Armel Bella Kotchap,Southampton,eng Premier League,DF,Defensive Centre-back,24.5,331,3.7
Robert Lewandowski,Barcelona,es La Liga,FW,Clinical Striker,24.4,2667,29.6
Ben Davies,Tottenham,eng Premier League,DF,Defensive Centre-back,24.4,1331,14.8
Malick Thiaw,Milan,it Serie A,DF,Defensive Centre-back,24.4,1806,20.1
Becir Omeragic,Montpellier,fr Ligue 1,DF,Defensive Centre-back,24.3,1799,20.0
Reda Belahyane,Hellas Verona,it Serie A,MF,Ball-winning Midfielder,24.3,1658,18.4
Rico Lewis,Manchester City,eng Premier League,DF,Ball-winning Midfielder,24.3,1893,21.0
Josué Casimir,Le Havre,fr Ligue 1,FW,Wide Midfielder / Winger,24.2,1997,22.2
Nathan Zeze,Nantes,fr Ligue 1,DF,Defensive Centre-back,24.2,1512,16.8
Antonio Nusa,RB Leipzig,de Bundesliga,MF,Wide Midfielder / Winger,24.2,1558,17.3
Nahuel Molina,Atlético Madrid,es La Liga,DF,Ball-winning Midfielder,24.2,1590,17.7
Daniel Mosquera,Hellas Verona,it Serie A,FW,Clinical Striker,24.2,1375,15.3
Manuel Locatelli,Juventus,it Serie A,MF,Ball-winning Midfielder,24.1,2822,31.4
Saidou Sow,Strasbourg,fr Ligue 1,DF,Defensive Centre-back,24.1,1018,11.3
Yan Diomandé,Leganés,es La Liga,MF,Creative Attacking Midfielder,24.1,545,6.1
Ryan Gravenberch,Liverpool,eng Premier League,MF,Ball-winning Midfielder,24.1,3160,35.1
Cédric Bakambu,Betis,es La Liga,FW,Clinical Striker,24.1,710,7.9
Ali Abdi,Nice,fr Ligue 1,DF,Fullback / Wing-back,24.1,1393,15.5
Timothy Weah,Juventus,it Serie A,DF,Fullback / Wing-back,24.0,1638,18.2
Santiago Bueno,Wolves,eng Premier League,DF,Defensive Centre-back,24.0,1687,18.7
Hauke Wahl,St. Pauli,de Bundesliga,DF,Defensive Centre-back,23.9,2970,33.0
Pau Torres,Aston Villa,eng Premier League,DF,Defensive Centre-back,23.9,2020,22.4
André Gomes,Lille,fr Ligue 1,MF,Ball-winning Midfielder,23.9,1276,14.2
Franck Honorat,Gladbach,de Bundesliga,FW,Creative Attacking Midfielder,23.8,1439,16.0
Aritz Elustondo,Real Sociedad,es La Liga,DF,Defensive Centre-back,23.8,1457,16.2
Pedro Neto,Chelsea,eng Premier League,FW,Creative Attacking Midfielder,23.8,2269,25.2
Romain Del Castillo,Brest,fr Ligue 1,FW,Creative Attacking Midfielder,23.7,1259,14.0
Pierre Ekwah Elimby,Saint-Étienne,fr Ligue 1,MF,Ball-winning Midfielder,23.7,2575,28.6
Alieu Fadera,Como,it Serie A,FW,Wide Midfielder / Winger,23.7,1644,18.3
Lucas Hernández,Paris S-G,fr Ligue 1,DF,Defensive Centre-back,23.7,877,9.7
Erling Haaland,Manchester City,eng Premier League,FW,Clinical Striker,23.5,2736,30.4
Issa Diop,Fulham,eng Premier League,DF,Defensive Centre-back,23.4,1339,14.9
Antoine Hainaut,Parma,it Serie A,DF,Ball-playing Centre-back,23.3,1206,13.4
Alexis Saelemaekers,Roma,it Serie A,DF,Box-to-box Midfielder,23.3,1389,15.4
Suso,Sevilla,es La Liga,FW,Creative Attacking Midfielder,23.3,606,6.7
Olasagasti,Real Sociedad,es La Liga,MF,Defensive Midfielder,23.3,857,9.5
Michael Amir Murillo,Marseille,fr Ligue 1,DF,Ball-winning Midfielder,23.2,2437,27.1
Ivan Ordets,Bochum,de Bundesliga,DF,Defensive Centre-back,23.1,1861,20.7
Rubén Peña,Osasuna,es La Liga,FW,Wide Midfielder / Winger,23.1,775,8.6
Jordan Lefort,Angers,fr Ligue 1,DF,Defensive Centre-back,22.8,3060,34.0
Fran Garcia,Real Madrid,es La Liga,DF,Ball-winning Midfielder,22.8,2171,24.1
Myron Boadu,Bochum,de Bundesliga,FW,Clinical Striker,22.8,1042,11.6
Silvère Ganvoula M'Boussy,Monza,it Serie A,FW,Target Man / Physical Striker,22.8,326,3.6
Moisés Caicedo,Chelsea,eng Premier League,MF,Ball-winning Midfielder,22.7,3351,37.2
Dean Henderson,Crystal Palace,eng Premier League,GK,Goalkeeper,22.7,3420,38.0
Marin Pongračić,Fiorentina,it Serie A,DF,Defensive Centre-back,22.6,1292,14.4
Dušan Vlahović,Juventus,it Serie A,FW,Clinical Striker,22.6,1784,19.8
Jack Harrison,Everton,eng Premier League,FW,Wide Midfielder / Winger,22.5,2076,23.1
Isak Hien,Atalanta,it Serie A,DF,Defensive Centre-back,22.5,2327,25.9
Rodrigo Riquelme,Atlético Madrid,es La Liga,MF,Creative Attacking Midfielder,22.4,516,5.7
Marcos André,Valladolid,es La Liga,FW,Target Man / Physical Striker,22.4,1188,13.2
Mitchel Bakker,Lille,fr Ligue 1,FW,Creative Attacking Midfielder,22.4,1139,12.7
Christian Mawissa,Monaco,fr Ligue 1,DF,Defensive Centre-back,22.4,1501,16.7
Moussa Niakhate,Lyon,fr Ligue 1,DF,Defensive Centre-back,22.2,2726,30.3
Radu Drăgușin,Tottenham,eng Premier League,DF,Defensive Centre-back,22.1,1252,13.9
Marco Friedl,Werder Bremen,de Bundesliga,DF,Defensive Centre-back,22.1,2161,24.0
Ermedin Demirović,Stuttgart,de Bundesliga,FW,Clinical Striker,22.1,1855,20.6
Nikola Krstović,Lecce,it Serie A,FW,Clinical Striker,22.0,3057,34.0
Gleison Bremer,Juventus,it Serie A,DF,Defensive Centre-back,21.9,540,6.0
Santiago Pierotti,Lecce,it Serie A,FW,Wide Midfielder / Winger,21.9,1937,21.5
Juanpe,Girona,es La Liga,DF,Defensive Centre-back,21.8,727,8.1
Willian Pacho,Paris S-G,fr Ligue 1,DF,Defensive Centre-back,21.8,2132,23.7
Raúl Asencio,Real Madrid,es La Liga,DF,Defensive Centre-back,21.8,1670,18.6
Lucas Tousart,Union Berlin,de Bundesliga,MF,Defensive Midfielder,21.7,561,6.2
Ali Dembélé,Torino,it Serie A,DF,Ball-playing Centre-back,21.7,388,4.3
Scott McKenna,Las Palmas,es La Liga,DF,Defensive Centre-back,21.6,2466,27.4
Amos Pieper,Werder Bremen,de Bundesliga,DF,Defensive Centre-back,21.6,1498,16.6
Nico Schlotterbeck,Dortmund,de Bundesliga,DF,Ball-winning Midfielder,21.5,1982,22.0
Serhou Guirassy,Dortmund,de Bundesliga,FW,Clinical Striker,21.4,2598,28.9
Adama Traoré,Fulham,eng Premier League,FW,Creative Attacking Midfielder,21.4,1772,19.7
Sergi Gómez,Espanyol,es La Liga,DF,Defensive Centre-back,21.3,664,7.4
Eray Cömert,Valladolid,es La Liga,DF,Defensive Centre-back,21.3,1779,19.8
Yuri Berchiche,Athletic Club,es La Liga,DF,Ball-winning Midfielder,21.3,2044,22.7
Manu Morlanes,Mallorca,es La Liga,MF,Ball-winning Midfielder,21.2,1338,14.9
Lewis Hall,Newcastle Utd,eng Premier League,DF,Ball-winning Midfielder,21.2,2189,24.3
Eric Bailly,Villarreal,es La Liga,DF,Defensive Centre-back,21.1,617,6.9
Robin Zentner,Mainz 05,de Bundesliga,GK,Goalkeeper,21.1,2880,32.0
Stefan Lainer,Gladbach,de Bundesliga,DF,Ball-playing Centre-back,21.0,757,8.4
Felix Agu,Werder Bremen,de Bundesliga,DF,Ball-playing Centre-back,21.0,1751,19.5
Martín Payero,Udinese,it Serie A,MF,Wide Midfielder / Winger,20.9,1381,15.3
Harry Winks,Leicester City,eng Premier League,MF,Ball-winning Midfielder,20.9,1538,17.1
Emerson,Milan,it Serie A,DF,Ball-winning Midfielder,20.8,1377,15.3
Joe Willock,Newcastle Utd,eng Premier League,MF,Wide Midfielder / Winger,20.8,1086,12.1
Patrik Schick,Leverkusen,de Bundesliga,FW,Clinical Striker,20.8,1684,18.7
Juan Jesus,Napoli,it Serie A,DF,Defensive Centre-back,20.8,1074,11.9
Chidera Ejuke,Sevilla,es La Liga,FW,Creative Attacking Midfielder,20.7,966,10.7
Moise Kean,Fiorentina,it Serie A,FW,Clinical Striker,20.7,2615,29.1
Remo Freuler,Bologna,it Serie A,MF,Ball-winning Midfielder,20.7,3204,35.6
William Carvalho,Betis,es La Liga,MF,Ball-winning Midfielder,20.7,484,5.4
Þórir Jóhann Helgason,Lecce,it Serie A,MF,Wide Midfielder / Winger,20.6,1156,12.8
Matìas Soulé,Roma,it Serie A,MF,Creative Attacking Midfielder,20.6,1781,19.8
Yunis Abdelhamid,Saint-Étienne,fr Ligue 1,DF,Defensive Centre-back,20.6,1033,11.5
Fikayo Tomori,Milan,it Serie A,DF,Defensive Centre-back,20.5,1593,17.7
Ola Aina,Nott'ham Forest,eng Premier League,DF,Ball-playing Centre-back,20.5,2995,33.3
Axel Witsel,Atlético Madrid,es La Liga,DF,Defensive Centre-back,20.5,852,9.5
Jordan Ferri,Montpellier,fr Ligue 1,MF,Ball-winning Midfielder,20.3,1773,19.7
Billy Gilmour,Napoli,it Serie A,MF,Ball-winning Midfielder,20.3,1177,13.1
