name,team,league,position,role,overall,minutes,90s
Luis Henrique,Marseille,fr Ligue 1,DF,Fullback / Wing-back,41.7,2613,29.0
Jakov Medić,Bochum,de Bundesliga,DF,Defensive Centre-back,41.7,1603,17.8
Víctor Meseguer,Valladolid,es La Liga,MF,Defensive Midfielder,41.7,418,4.6
Jean-Charles Castelletto,Nantes,fr Ligue 1,DF,Defensive Centre-back,41.7,2620,29.1
Javi Hernández,Leganés,es La Liga,DF,Defensive Midfielder,41.7,2389,26.5
Rafael Tolói,Atalanta,it Serie A,DF,Defensive Centre-back,41.7,468,5.2
Bertuğ Yıldırım,Getafe,es La Liga,FW,Target Man / Physical Striker,41.6,1083,12.0
Adrien Tameze,Torino,it Serie A,MF,Defensive Midfielder,41.6,649,7.2
Samuel Mbangula,Juventus,it Serie A,FW,Wide Midfielder / Winger,41.5,709,7.9
Joachim Andersen,Fulham,eng Premier League,DF,Defensive Centre-back,41.4,2583,28.7
Federico Baschirotto,Lecce,it Serie A,DF,Defensive Centre-back,41.4,3420,38.0
Erencan Yardimci,Hoffenheim,de Bundesliga,FW,Target Man / Physical Striker,41.3,313,3.5
Tim Iroegbunam,Everton,eng Premier League,MF,Ball-winning Midfielder,41.3,574,6.4
Tanguy Coulibaly,Montpellier,fr Ligue 1,FW,Wide Midfielder / Winger,41.3,1485,16.5
Takuma Asano,Mallorca,es La Liga,FW,Target Man / Physical Striker,41.1,1054,11.7
Lewis Dunk,Brighton,eng Premier League,DF,Defensive Centre-back,41.0,2083,23.1
Ritsu Doan,Freiburg,de Bundesliga,FW,Wide Midfielder / Winger,40.9,2862,31.8
El Bilal Touré,Stuttgart,de Bundesliga,FW,Clinical Striker,40.9,356,4.0
Giovani Lo Celso,Betis,es La Liga,MF,Creative Attacking Midfielder,40.8,1457,16.2
Cameron Burgess,Ipswich Town,eng Premier League,DF,Defensive Centre-back,40.8,1541,17.1
Christoph Baumgartner,RB Leipzig,de Bundesliga,MF,Wide Midfielder / Winger,40.7,1610,17.9
Marc Domenech,Mallorca,es La Liga,FW,Target Man / Physical Striker,40.7,303,3.4
Johannes Eggestein,St. Pauli,de Bundesliga,FW,Target Man / Physical Striker,40.7,1853,20.6
Yann Karamoh,Torino,it Serie A,MF,Wide Midfielder / Winger,40.7,1046,11.6
Jamie Leweling,Stuttgart,de Bundesliga,MF,Wide Midfielder / Winger,40.7,1663,18.5
Amadou Haidara,RB Leipzig,de Bundesliga,MF,Ball-winning Midfielder,40.7,1320,14.7
Tom Krauß,Bochum,de Bundesliga,MF,Ball-winning Midfielder,40.6,1077,12.0
Tom Rothe,Union Berlin,de Bundesliga,DF,Fullback / Wing-back,40.6,1670,18.6
Danilo,Juventus,it Serie A,DF,Defensive Centre-back,40.5,581,6.5
Pervis Estupiñán,Brighton,eng Premier League,DF,Ball-winning Midfielder,40.4,2402,26.7
Jota Silva,Nott'ham Forest,eng Premier League,FW,Wide Midfielder / Winger,40.4,854,9.5
Brahim Díaz,Real Madrid,es La Liga,FW,Creative Attacking Midfielder,40.4,1385,15.4
Marcos Senesi,Bournemouth,eng Premier League,DF,Defensive Centre-back,40.4,1106,12.3
Jules Koundé,Barcelona,es La Liga,DF,Ball-winning Midfielder,40.4,2605,28.9
Cristian Romero,Tottenham,eng Premier League,DF,Ball-winning Midfielder,40.4,1416,15.7
El Chadaille Bitshiabu,RB Leipzig,de Bundesliga,DF,Defensive Centre-back,40.3,1130,12.6
Luca Marianucci,Empoli,it Serie A,DF,Defensive Centre-back,40.3,1069,11.9
Luke Shaw,Manchester Utd,eng Premier League,DF,Defensive Centre-back,40.2,349,3.9
Leonardo Pavoletti,Cagliari,it Serie A,FW,Clinical Striker,40.2,445,4.9
Álvaro Rodríguez,Getafe,es La Liga,FW,Target Man / Physical Striker,40.1,852,9.5
Adri Embarba,Rayo Vallecano,es La Liga,FW,Wide Midfielder / Winger,40.1,1607,17.9
Calvin Bassey,Fulham,eng Premier League,DF,Defensive Centre-back,40.0,3074,34.2
Hwang Hee-chan,Wolves,eng Premier League,MF,Target Man / Physical Striker,40.0,661,7.3
Pica,Alavés,es La Liga,DF,Defensive Centre-back,39.9,499,5.5
Nicolò Casale,Bologna,it Serie A,DF,Defensive Centre-back,39.9,900,10.0
Ferdi Kadioglu,Brighton,eng Premier League,DF,Fullback / Wing-back,39.7,385,4.3
Cheick Doucouré,Crystal Palace,eng Premier League,MF,Ball-winning Midfielder,39.6,452,5.0
Tommaso Baldanzi,Roma,it Serie A,MF,Wide Midfielder / Winger,39.6,832,9.2
Alfonso Espino,Rayo Vallecano,es La Liga,DF,Ball-winning Midfielder,39.5,833,9.3
Will Hughes,Crystal Palace,eng Premier League,MF,Ball-winning Midfielder,39.5,2108,23.4
Nicolás González,Juventus,it Serie A,FW,Target Man / Physical Striker,39.5,1750,19.4
Lasse Rosenboom,Holstein Kiel,de Bundesliga,DF,Defensive Midfielder,39.4,1734,19.3
Ibrahima Wadji,Saint-Étienne,fr Ligue 1,FW,Wide Midfielder / Winger,39.4,347,3.9
Sergio Akieme,Reims,fr Ligue 1,DF,Defensive Midfielder,39.4,2523,28.0
Valentin Rongier,Marseille,fr Ligue 1,MF,Ball-winning Midfielder,39.4,1562,17.4
Enzo Fernández,Chelsea,eng Premier League,MF,Box-to-box Midfielder,39.3,2947,32.7
Leonardo Bittencourt,Werder Bremen,de Bundesliga,MF,Box-to-box Midfielder,39.3,982,10.9
Atakan Karazor,Stuttgart,de Bundesliga,MF,Ball-winning Midfielder,39.2,2618,29.1
Hamza Rafia,Lecce,it Serie A,MF,Ball-winning Midfielder,39.2,1058,11.8
Kevin Schade,Brentford,eng Premier League,FW,Clinical Striker,39.1,2293,25.5
Ander Barrenetxea,Real Sociedad,es La Liga,MF,Wide Midfielder / Winger,39.1,1263,14.0
Mahamadou Diawara,Le Havre,fr Ligue 1,MF,Ball-winning Midfielder,39.0,582,6.5
Darwin Núñez,Liverpool,eng Premier League,FW,Clinical Striker,39.0,1133,12.6
Charles De Ketelaere,Atalanta,it Serie A,MF,Creative Attacking Midfielder,39.0,2070,23.0
Aitor Ruibal,Betis,es La Liga,DF,Fullback / Wing-back,39.0,1313,14.6
Ylber Ramadani,Lecce,it Serie A,MF,Ball-winning Midfielder,38.9,1807,20.1
Darko Brašanac,Leganés,es La Liga,MF,Defensive Midfielder,38.9,1617,18.0
Iker Muñoz,Osasuna,es La Liga,MF,Defensive Midfielder,38.9,610,6.8
Viktor Tsyhankov,Girona,es La Liga,FW,Wide Midfielder / Winger,38.9,1913,21.3
Farid El Melali,Angers,fr Ligue 1,FW,Wide Midfielder / Winger,38.9,1893,21.0
Nadir Zortea,Cagliari,it Serie A,DF,Fullback / Wing-back,38.8,2713,30.1
Dario Essugo,Las Palmas,es La Liga,MF,Ball-winning Midfielder,38.8,1938,21.5
Miguel Gutiérrez,Girona,es La Liga,DF,Fullback / Wing-back,38.7,2458,27.3
Keane Lewis-Potter,Brentford,eng Premier League,DF,Fullback / Wing-back,38.7,3093,34.4
Junior Messias,Genoa,it Serie A,MF,Wide Midfielder / Winger,38.7,847,9.4
Ramon Hendriks,Stuttgart,de Bundesliga,DF,Defensive Centre-back,38.7,1154,12.8
Pavel Kadeřábek,Hoffenheim,de Bundesliga,DF,Ball-playing Centre-back,38.4,1576,17.5
Benjamin Pavard,Inter,it Serie A,DF,Defensive Centre-back,38.3,1584,17.6
Rodrygo,Real Madrid,es La Liga,FW,Creative Attacking Midfielder,38.3,1928,21.4
Patson Daka,Leicester City,eng Premier League,FW,Target Man / Physical Striker,38.3,736,8.2
Neco Williams,Nott'ham Forest,eng Premier League,DF,Defensive Midfielder,38.3,2594,28.8
Mamadou Sylla,Valladolid,es La Liga,FW,Target Man / Physical Striker,38.2,1583,17.6
Pau Cubarsí,Barcelona,es La Liga,DF,Defensive Centre-back,38.2,2618,29.1
Javier Muñoz,Las Palmas,es La Liga,MF,Defensive Midfielder,38.1,2588,28.8
Ismaily,Lille,fr Ligue 1,DF,Ball-winning Midfielder,38.1,904,10.0
Federico Dimarco,Inter,it Serie A,DF,Box-to-box Midfielder,38.1,2140,23.8
Yarek Gasiorowski,Valencia,es La Liga,DF,Defensive Centre-back,38.0,947,10.5
Fer López,Celta Vigo,es La Liga,FW,Creative Attacking Midfielder,37.9,671,7.5
Mohamed Haj,Parma,it Serie A,MF,Wide Midfielder / Winger,37.9,453,5.0
Daniel Parejo,Villarreal,es La Liga,MF,Ball-winning Midfielder,37.9,2273,25.3
Giovanni Di Lorenzo,Napoli,it Serie A,DF,Ball-winning Midfielder,37.8,3330,37.0
Yves Bissouma,Tottenham,eng Premier League,MF,Ball-winning Midfielder,37.8,1408,15.6
Danilo Cataldi,Fiorentina,it Serie A,MF,Ball-winning Midfielder,37.8,1712,19.0
Richarlison,Tottenham,eng Premier League,FW,Clinical Striker,37.7,504,5.6
Youssouf Fofana,Milan,it Serie A,MF,Ball-winning Midfielder,37.7,2504,27.8
Iván Martín,Girona,es La Liga,MF,Ball-winning Midfielder,37.7,2039,22.7
Albert Sambi Lokonga,Sevilla,es La Liga,MF,Ball-winning Midfielder,37.7,1471,16.3
Jesús Navas,Sevilla,es La Liga,FW,Wide Midfielder / Winger,37.7,424,4.7
Jonathan Burkardt,Mainz 05,de Bundesliga,FW,Clinical Striker,37.7,2109,23.4
Mats Hummels,Roma,it Serie A,DF,Defensive Centre-back,37.7,915,10.2
Myles Lewis-Skelly,Arsenal,eng Premier League,DF,Ball-playing Centre-back,37.6,1369,15.2
Andrei Ratiu,Rayo Vallecano,es La Liga,DF,Fullback / Wing-back,37.6,3065,34.1
Portu,Girona,es La Liga,FW,Wide Midfielder / Winger,37.5,779,8.7
Adrian Beck,Heidenheim,de Bundesliga,MF,Wide Midfielder / Winger,37.5,1598,17.8
Marcos Llorente,Atlético Madrid,es La Liga,DF,Ball-winning Midfielder,37.4,2513,27.9
Amin Sarr,Hellas Verona,it Serie A,FW,Target Man / Physical Striker,37.4,1907,21.2
Ramy Bensebaini,Dortmund,de Bundesliga,DF,Ball-winning Midfielder,37.3,2022,22.5
Martín Zubimendi,Real Sociedad,es La Liga,MF,Ball-winning Midfielder,37.3,2962,32.9
Omari Hutchinson,Ipswich Town,eng Premier League,MF,Wide Midfielder / Winger,37.3,2583,28.7
Iker Bravo,Udinese,it Serie A,FW,Wide Midfielder / Winger,37.3,682,7.6
Jay Idzes,Venezia,it Serie A,DF,Defensive Centre-back,37.3,3127,34.7
Jáder Durán,Aston Villa,eng Premier League,FW,Clinical Striker,37.2,638,7.1
Lloyd Kelly,Juventus,it Serie A,DF,Defensive Centre-back,37.2,1013,11.3
Benito Ramírez,Las Palmas,es La Liga,DF,Fullback / Wing-back,37.2,478,5.3
Aaron Wan-Bissaka,West Ham,eng Premier League,DF,Ball-winning Midfielder,37.2,3154,35.0
Jonathan Bamba,Celta Vigo,es La Liga,FW,Wide Midfielder / Winger,37.1,811,9.0
Lee Kang-in,Paris S-G,fr Ligue 1,FW,Creative Attacking Midfielder,37.1,1663,18.5
Pablo Sarabia,Wolves,eng Premier League,MF,Creative Attacking Midfielder,37.1,814,9.0
Goduine Koyalipou,Lens,fr Ligue 1,FW,Clinical Striker,37.1,885,9.8
Yeremi Pino,Villarreal,es La Liga,MF,Wide Midfielder / Winger,37.1,1934,21.5
Ansgar Knauff,Eint Frankfurt,de Bundesliga,MF,Wide Midfielder / Winger,37.0,1597,17.7
Mory Gbane,Reims,fr Ligue 1,DF,Defensive Centre-back,37.0,1125,12.5
Emerson Palmieri,West Ham,eng Premier League,DF,Defensive Midfielder,37.0,2113,23.5
Alberto Dossena,Como,it Serie A,DF,Defensive Centre-back,37.0,1825,20.3
Alfonso Pedraza,Villarreal,es La Liga,DF,Fullback / Wing-back,36.9,460,5.1
Teun Koopmeiners,Juventus,it Serie A,MF,Wide Midfielder / Winger,36.9,1994,22.2
Emmanuel Sabbi,Le Havre,fr Ligue 1,FW,Wide Midfielder / Winger,36.9,653,7.3
Reece James,Chelsea,eng Premier League,DF,Ball-winning Midfielder,36.8,1063,11.8
Davide Zappacosta,Atalanta,it Serie A,DF,Fullback / Wing-back,36.8,2067,23.0
Matías Vecino,Lazio,it Serie A,MF,Target Man / Physical Striker,36.8,877,9.7
Eliesse Ben Seghir,Monaco,fr Ligue 1,MF,Creative Attacking Midfielder,36.8,1750,19.4
Enzo Le Fée,Roma,it Serie A,MF,Ball-winning Midfielder,36.8,318,3.5
Denis Suárez,Villarreal,es La Liga,MF,Wide Midfielder / Winger,36.7,608,6.8
José Luis García Vayá,Valencia,es La Liga,MF,Ball-winning Midfielder,36.7,1742,19.4
Gabriel Gudmundsson,Lille,fr Ligue 1,DF,Ball-winning Midfielder,36.7,1785,19.8
Aimar Oroz,Osasuna,es La Liga,MF,Wide Midfielder / Winger,36.6,2966,33.0
Crysencio Summerville,West Ham,eng Premier League,FW,Wide Midfielder / Winger,36.6,786,8.7
Samuel Lino,Atlético Madrid,es La Liga,MF,Creative Attacking Midfielder,36.5,1552,17.2
Amad Diallo,Manchester Utd,eng Premier League,MF,Creative Attacking Midfielder,36.5,1901,21.1
Kai Havertz,Arsenal,eng Premier League,FW,Clinical Striker,36.5,1875,20.8
Nicolas Pépé,Villarreal,es La Liga,FW,Creative Attacking Midfielder,36.5,1500,16.7
Iliman Ndiaye,Everton,eng Premier League,FW,Wide Midfielder / Winger,36.4,2430,27.0
Peque,Sevilla,es La Liga,MF,Wide Midfielder / Winger,36.4,1134,12.6
Matteo Darmian,Inter,it Serie A,DF,Ball-playing Centre-back,36.4,1781,19.8
Bernardo,Bochum,de Bundesliga,DF,Defensive Centre-back,36.3,1782,19.8
Tim Drexler,Hoffenheim,de Bundesliga,DF,Ball-winning Midfielder,36.3,357,4.0
Wahbi Khazri,Montpellier,fr Ligue 1,FW,Wide Midfielder / Winger,36.3,1118,12.4
Luck Zogbé,Brest,fr Ligue 1,DF,Ball-winning Midfielder,36.3,638,7.1
Reiss Nelson,Fulham,eng Premier League,FW,Creative Attacking Midfielder,36.2,487,5.4
Fisayo Dele-Bashiru,Lazio,it Serie A,MF,Wide Midfielder / Winger,36.2,947,10.5
Kobbie Mainoo,Manchester Utd,eng Premier League,MF,Ball-winning Midfielder,36.2,1651,18.3
Matt O'Riley,Brighton,eng Premier League,MF,Wide Midfielder / Winger,36.2,938,10.4
Loïs Openda,RB Leipzig,de Bundesliga,FW,Clinical Striker,36.2,2453,27.3
Matteo Politano,Napoli,it Serie A,FW,Wide Midfielder / Winger,36.2,2804,31.2
Abdallah Sima,Brest,fr Ligue 1,FW,Clinical Striker,36.1,1238,13.8
Selim Amallah,Valladolid,es La Liga,MF,Wide Midfielder / Winger,36.1,1376,15.3
Lucas Bergvall,Tottenham,eng Premier League,MF,Ball-winning Midfielder,36.1,1212,13.5
Justin Devenny,Crystal Palace,eng Premier League,MF,Wide Midfielder / Winger,36.0,507,5.6
Johann Lepenant,Nantes,fr Ligue 1,MF,Defensive Midfielder,36.0,2048,22.8
Dante,Nice,fr Ligue 1,DF,Defensive Centre-back,36.0,1964,21.8
Juan Cruz,Leganés,es La Liga,FW,Wide Midfielder / Winger,36.0,2257,25.1
Steve Mounié,Augsburg,de Bundesliga,FW,Clinical Striker,36.0,347,3.9
Jean-Eudes Aholou,Angers,fr Ligue 1,MF,Defensive Midfielder,35.9,1959,21.8
Arthur Chaves,Hoffenheim,de Bundesliga,DF,Defensive Centre-back,35.8,2185,24.3
Mikel Vesga,Athletic Club,es La Liga,MF,Ball-winning Midfielder,35.8,988,11.0
Eldor Shomurodov,Roma,it Serie A,FW,Clinical Striker,35.8,1097,12.2
Xavi Simons,RB Leipzig,de Bundesliga,MF,Creative Attacking Midfielder,35.7,2150,23.9
Valentín Castellanos,Lazio,it Serie A,FW,Clinical Striker,35.7,2384,26.5
Aaron Cresswell,West Ham,eng Premier League,DF,Defensive Centre-back,35.6,824,9.2
Jeremie Boga,Nice,fr Ligue 1,MF,Creative Attacking Midfielder,35.6,1054,11.7
Issa Kaboré,Werder Bremen,de Bundesliga,DF,Fullback / Wing-back,35.5,308,3.4
Edon Zhegrova,Lille,fr Ligue 1,FW,Creative Attacking Midfielder,35.5,978,10.9
Aimen Moueffek,Saint-Étienne,fr Ligue 1,MF,Defensive Midfielder,35.5,1039,11.5
Florian Thauvin,Udinese,it Serie A,FW,Creative Attacking Midfielder,35.5,1956,21.7
Cédric Kipré,Reims,fr Ligue 1,DF,Defensive Centre-back,35.5,2190,24.3
Ben Johnson,Ipswich Town,eng Premier League,DF,Defensive Midfielder,35.5,1354,15.0
Eduardo Camavinga,Real Madrid,es La Liga,MF,Ball-winning Midfielder,35.5,1102,12.2
Mattia Viti,Empoli,it Serie A,DF,Defensive Centre-back,35.4,2572,28.6
Juan Herzog,Las Palmas,es La Liga,DF,Defensive Centre-back,35.4,1315,14.6
Samuele Birindelli,Monza,it Serie A,DF,Fullback / Wing-back,35.3,1468,16.3
Robert Skov,Union Berlin,de Bundesliga,DF,Fullback / Wing-back,35.2,852,9.5
Alexander Sørloth,Atlético Madrid,es La Liga,FW,Clinical Striker,35.2,1566,17.4
Dominik Szoboszlai,Liverpool,eng Premier League,MF,Creative Attacking Midfielder,35.1,2491,27.7
Diogo Dalot,Manchester Utd,eng Premier League,DF,Ball-winning Midfielder,35.0,2814,31.3
Jamie Gittens,Dortmund,de Bundesliga,FW,Creative Attacking Midfielder,35.0,1776,19.7
Luca Ranieri,Fiorentina,it Serie A,DF,Defensive Centre-back,34.8,2981,33.1
Igor Zubeldia,Real Sociedad,es La Liga,DF,Defensive Centre-back,34.8,2269,25.2
Bryan Mbeumo,Brentford,eng Premier League,FW,Creative Attacking Midfielder,34.8,3414,37.9
Jofre,Espanyol,es La Liga,MF,Wide Midfielder / Winger,34.8,2165,24.1
Finn Ole Becker,Hoffenheim,de Bundesliga,MF,Ball-winning Midfielder,34.7,670,7.4
Tete Morente,Lecce,it Serie A,FW,Wide Midfielder / Winger,34.6,2021,22.5
Mattia Bani,Genoa,it Serie A,DF,Defensive Centre-back,34.6,1507,16.7
Kiliann Sildillia,Freiburg,de Bundesliga,DF,Ball-playing Centre-back,34.6,801,8.9
Nadiem Amiri,Mainz 05,de Bundesliga,MF,Box-to-box Midfielder,34.5,2473,27.5
Curtis Jones,Liverpool,eng Premier League,MF,Box-to-box Midfielder,34.5,1712,19.0
Jaydee Canvot,Toulouse,fr Ligue 1,DF,Defensive Centre-back,34.5,1106,12.3
Tim Siersleben,Heidenheim,de Bundesliga,DF,Defensive Centre-back,34.5,1182,13.1
Wilson Odobert,Tottenham,eng Premier League,FW,Wide Midfielder / Winger,34.5,850,9.4
Lucas Beltrán,Fiorentina,it Serie A,FW,Wide Midfielder / Winger,34.5,1864,20.7
Sergi Altimira,Betis,es La Liga,MF,Ball-winning Midfielder,34.5,1972,21.9
Enzo Millot,Stuttgart,de Bundesliga,MF,Creative Attacking Midfielder,34.4,1843,20.5
Geoffrey Kondogbia,Marseille,fr Ligue 1,DF,Defensive Centre-back,34.4,2020,22.4
Jim Allevinah,Angers,fr Ligue 1,FW,Wide Midfielder / Winger,34.4,1750,19.4
Stoichkov,Alavés,es La Liga,MF,Wide Midfielder / Winger,34.4,699,7.8
Óscar Trejo,Rayo Vallecano,es La Liga,MF,Wide Midfielder / Winger,34.3,496,5.5
Rayan Aït-Nouri,Wolves,eng Premier League,DF,Fullback / Wing-back,34.2,3109,34.5
Stephy Mavididi,Leicester City,eng Premier League,FW,Wide Midfielder / Winger,34.2,1615,17.9
Álex Muñoz,Las Palmas,es La Liga,DF,Ball-playing Centre-back,34.2,1415,15.7
Ethan Nwaneri,Arsenal,eng Premier League,FW,Creative Attacking Midfielder,34.2,895,9.9
Yoane Wissa,Brentford,eng Premier League,FW,Clinical Striker,34.1,2919,32.4
Christian Pulisic,Milan,it Serie A,FW,Creative Attacking Midfielder,34.1,2478,27.5
Badredine Bouanani,Nice,fr Ligue 1,MF,Creative Attacking Midfielder,34.1,1099,12.2
Nicolás Valentini,Hellas Verona,it Serie A,DF,Defensive Centre-back,34.1,1129,12.5
Callum Wilson,Newcastle Utd,eng Premier League,FW,Target Man / Physical Striker,34.1,370,4.1
Lukas Nmecha,Wolfsburg,de Bundesliga,FW,Clinical Striker,34.1,467,5.2
Senny Mayulu,Paris S-G,fr Ligue 1,MF,Creative Attacking Midfielder,34.0,808,9.0
Francesco Acerbi,Inter,it Serie A,DF,Defensive Centre-back,34.0,1710,19.0
Mohamed Lamine Bayo,Lille,fr Ligue 1,FW,Clinical Striker,33.9,309,3.4
Federico Barba,Como,it Serie A,DF,Defensive Centre-back,33.9,431,4.8
Mathias Pereira Lage,Brest,fr Ligue 1,FW,Wide Midfielder / Winger,33.7,1571,17.5
Adrien Rabiot,Marseille,fr Ligue 1,MF,Box-to-box Midfielder,33.7,2485,27.6
Fran Beltrán,Celta Vigo,es La Liga,MF,Ball-winning Midfielder,33.7,2421,26.9
Warren Zaïre-Emery,Paris S-G,fr Ligue 1,MF,Ball-winning Midfielder,33.7,2050,22.8
Jeong Woo-yeong,Union Berlin,de Bundesliga,MF,Wide Midfielder / Winger,33.6,1263,14.0
Marc Cucurella,Chelsea,eng Premier League,DF,Ball-playing Centre-back,33.6,2988,33.2
Jeff Ekhator,Genoa,it Serie A,FW,Target Man / Physical Striker,33.5,769,8.5
Arnau Martinez,Girona,es La Liga,DF,Ball-winning Midfielder,33.5,2624,29.2
Benjamin Bouchouari,Saint-Étienne,fr Ligue 1,MF,Ball-winning Midfielder,33.5,1772,19.7
Samuel Chukwueze,Milan,it Serie A,FW,Creative Attacking Midfielder,33.5,925,10.3
Daler Kuzyaev,Le Havre,fr Ligue 1,MF,Defensive Midfielder,33.5,567,6.3
Malo Gusto,Chelsea,eng Premier League,DF,Ball-winning Midfielder,33.4,1862,20.7
Florian Grillitsch,Valladolid,es La Liga,MF,Ball-winning Midfielder,33.3,623,6.9
Sergi Roberto,Como,it Serie A,MF,Ball-winning Midfielder,33.3,696,7.7
Vincenzo Grifo,Freiburg,de Bundesliga,FW,Creative Attacking Midfielder,33.3,2432,27.0
Aljoscha Kemlein,Union Berlin,de Bundesliga,MF,Defensive Midfielder,33.3,922,10.2
Joshua King,Toulouse,fr Ligue 1,FW,Clinical Striker,33.2,1673,18.6
Jordan Ayew,Leicester City,eng Premier League,FW,Wide Midfielder / Winger,33.2,1638,18.2
Bobby De Cordova-Reid,Leicester City,eng Premier League,FW,Target Man / Physical Striker,33.2,744,8.3
Conor Chaplin,Ipswich Town,eng Premier League,MF,Target Man / Physical Striker,33.1,857,9.5
Enzo Barrenechea,Valencia,es La Liga,MF,Ball-winning Midfielder,33.1,2191,24.3
Asier Villalibre,Alavés,es La Liga,FW,Target Man / Physical Striker,33.1,333,3.7
Jurriën Timber,Arsenal,eng Premier League,DF,Ball-winning Midfielder,33.0,2417,26.9
Gaëtan Perrin,Auxerre,fr Ligue 1,MF,Creative Attacking Midfielder,33.0,2691,29.9
Fabian Rieder,Stuttgart,de Bundesliga,MF,Wide Midfielder / Winger,33.0,867,9.6
Carlos Romero,Espanyol,es La Liga,DF,Defensive Midfielder,33.0,2554,28.4
Abner,Lyon,fr Ligue 1,DF,Ball-winning Midfielder,32.9,1090,12.1
M'Bala Nzola,Lens,fr Ligue 1,FW,Clinical Striker,32.8,1460,16.2
Sirlord Conteh,Heidenheim,de Bundesliga,FW,Target Man / Physical Striker,32.7,892,9.9
Mile Svilar,Roma,it Serie A,GK,Goalkeeper,32.7,3420,38.0
Connor Metcalfe,St. Pauli,de Bundesliga,MF,Target Man / Physical Striker,32.7,358,4.0
Óscar Rodríguez Arnaiz,Leganés,es La Liga,MF,Wide Midfielder / Winger,32.6,1330,14.8
Nico Williams,Athletic Club,es La Liga,FW,Creative Attacking Midfielder,32.6,1996,22.2
Yannik Engelhardt,Como,it Serie A,MF,Ball-winning Midfielder,32.6,1164,12.9
Lucien Agoume,Sevilla,es La Liga,MF,Ball-winning Midfielder,32.5,2114,23.5
Leny Yoro,Manchester Utd,eng Premier League,DF,Defensive Centre-back,32.5,1165,12.9
Jordan Amavi,Brest,fr Ligue 1,DF,Ball-winning Midfielder,32.5,790,8.8
Oumar Solet,Udinese,it Serie A,DF,Ball-winning Midfielder,32.4,1672,18.6
Miloš Veljković,Werder Bremen,de Bundesliga,DF,Defensive Centre-back,32.3,1029,11.4
Nicolas Pays,Montpellier,fr Ligue 1,FW,Wide Midfielder / Winger,32.3,447,5.0
Maghnes Akliouche,Monaco,fr Ligue 1,FW,Creative Attacking Midfielder,32.3,2406,26.7
Malang Sarr,Lens,fr Ligue 1,DF,Defensive Centre-back,32.3,1385,15.4
Emile Smith Rowe,Fulham,eng Premier League,MF,Box-to-box Midfielder,32.2,2043,22.7
Max Kilman,West Ham,eng Premier League,DF,Defensive Centre-back,32.1,3348,37.2
Harry Clarke,Ipswich Town,eng Premier League,DF,Defensive Centre-back,32.1,379,4.2
Djed Spence,Tottenham,eng Premier League,DF,Ball-winning Midfielder,32.1,1792,19.9
Pere Milla,Espanyol,es La Liga,MF,Clinical Striker,32.0,456,5.1
Cristian Cásseres Jr.,Toulouse,fr Ligue 1,MF,Ball-winning Midfielder,32.0,2696,30.0
Vitor Roque,Betis,es La Liga,FW,Clinical Striker,31.9,1235,13.7
Patrick Ciurria,Monza,it Serie A,MF,Defensive Midfielder,31.9,1111,12.3
Amadou Koné,Reims,fr Ligue 1,MF,Ball-winning Midfielder,31.8,1293,14.4
Ludovic Blas,Rennes,fr Ligue 1,MF,Creative Attacking Midfielder,31.7,2293,25.5
Ümit Akdag,Toulouse,fr Ligue 1,DF,Defensive Centre-back,31.6,500,5.6
Tim Skarke,Union Berlin,de Bundesliga,FW,Wide Midfielder / Winger,31.4,1164,12.9
Kamaldeen Sulemana,Southampton,eng Premier League,FW,Wide Midfielder / Winger,31.4,1402,15.6
Obite N'Dicka,Roma,it Serie A,DF,Defensive Centre-back,31.3,3420,38.0
Léo Scienza,Heidenheim,de Bundesliga,FW,Creative Attacking Midfielder,31.3,1153,12.8
Clinton Mata,Lyon,fr Ligue 1,DF,Defensive Centre-back,31.2,2370,26.3
Marten de Roon,Atalanta,it Serie A,MF,Ball-winning Midfielder,31.2,3058,34.0
Carlo Boukhalfa,St. Pauli,de Bundesliga,MF,Defensive Midfielder,31.2,1646,18.3
Orel Mangala,Everton,eng Premier League,MF,Defensive Midfielder,31.1,1261,14.0
Lewis Cook,Bournemouth,eng Premier League,MF,Ball-winning Midfielder,31.1,2978,33.1
Lazar Samardzic,Atalanta,it Serie A,MF,Creative Attacking Midfielder,31.0,1169,13.0
Jhon Lucumí,Bologna,it Serie A,DF,Defensive Centre-back,31.0,2614,29.0
Mattias Svanberg,Wolfsburg,de Bundesliga,MF,Target Man / Physical Striker,31.0,1219,13.5
Martin Ødegaard,Arsenal,eng Premier League,MF,Creative Attacking Midfielder,30.9,2325,25.8
Marc Casado,Barcelona,es La Liga,MF,Ball-winning Midfielder,30.9,1611,17.9
Alex Baena,Villarreal,es La Liga,MF,Creative Attacking Midfielder,30.9,2595,28.8
Craig Dawson,Wolves,eng Premier League,DF,Defensive Centre-back,30.9,971,10.8
Fabio Miretti,Genoa,it Serie A,MF,Wide Midfielder / Winger,30.8,1677,18.6
Nikola Moro,Bologna,it Serie A,MF,Ball-winning Midfielder,30.8,1208,13.4
Dara O'Shea,Ipswich Town,eng Premier League,DF,Defensive Centre-back,30.8,3122,34.7
Moi Gómez,Osasuna,es La Liga,MF,Ball-winning Midfielder,30.8,796,8.8
Magnus Kofod Andersen,Venezia,it Serie A,MF,Defensive Midfielder,30.7,695,7.7
Zito Luvumbo,Cagliari,it Serie A,FW,Wide Midfielder / Winger,30.7,1606,17.8
